NAME,  PERC_EIE  
Wildwood, 53 
St. Louis, 19 
Chesterfield, 27 
Maryland Heights, 25 
Hazelwood, 23 
Oakville, 45 
Old Jamestown, 45 
Bridgeton, 21 
Florissant, 27 
Town and Country, 37 
Eureka, 49 
Creve Coeur, 34 
Kirkwood, 43 
Ballwin, 38 
Sunset Hills, 40 
Ladue, 50 
Mehlville, 31 
Spanish Lake, 40 
Fenton, 29 
Ferguson, 30 
Webster Groves, 42 
University City, 35 
Concord, 29 
Manchester, 28 
Berkeley, 13 
Affton, 25 
Valley Park, 38 
Bellefontaine Neighbors, 27 
Overland, 30 
Ellisville, 42 
Des Peres, 40 
Lemay, 30 
Jennings, 34 
Crestwood, 23 
St. Ann, 31 
Frontenac, 48 
Olivette, 31 
Clarkson Valley, 50 
Black Jack, 45 
Clayton, 34 
Sappington, 18 
Richmond Heights, 33 
Brentwood, 27 
Normandy, 37 
Maplewood, 25 
Shrewsbury, 32 
St. John, 40 
Green Park, 15 
Glendale, 41 
Pagedale, 31 
Rock Hill, 36 
Dellwood, 27 
Huntleigh, 48 
Glasgow Village, 40 
Wellston, 27 
Riverview, 39 
Grantwood Village, 34 
Breckenridge Hills, 34 
Champ,
Vinita Park, 25 
Woodson Terrace, 18 
Bel-Ridge, 34 
Kinloch,
Northwoods, 34 
Bel-Nor, 38 
Westwood, 45 
Pine Lawn, 18 
Castle Point, 29 
Oakland, 32 
Moline Acres, 32 
Warson Woods, 43 
Cool Valley,
Calverton Park, 39 
Hanley Hills, 31 
Hillsdale, 31 
Bellerive Acres, 36 
Edmundson, 17 
Charlack, 24 
Twin Oaks, 41 
Winchester, 31 
St. George, 27 
Marlborough,
Lakeshire,
Pasadena Hills, 33 
Greendale,
Country Club Hills, 37 
Velda City, 17 
Sycamore Hills, 33 
Bella Villa, 23 
Country Life Acres,
Flordell Hills, 33 
Norwood Court, 33 
Velda Village Hills, 16 
Pasadena Park,
Crystal Lake Park,
Beverly Hills, 17 
Uplands Park,
Wilbur Park, 26 
Glen Echo Park,
