NAME,SIZE,PERC
Wildwood,172704197,80.25
St. Louis,159853177,25.52255226
Chesterfield,82452414,40.49
Maryland Heights,56671120,25.28
Hazelwood,41538987,34.99
Oakville,41123118,59.29
Old Jamestown,38710311,59.4
Bridgeton,37691258,19.52
Florissant,32508837,40.08024072
Town and Country,29761490,49.59
Eureka,28851202,45.28
Creve Coeur,26613292,45.54
Kirkwood,23782252,56.17
Ballwin,23259582,49.41
Sunset Hills,23258216,56.16
Ladue,22169955,68.82
Mehlville,19365092,50.66
Spanish Lake,19093792,60.67
Fenton,16243020,29.39
Ferguson,15977741,50.99
Webster Groves,15314701,63.32
University City,15234247,50.22
Concord,14233767,49.58093507
Manchester,13032337,42.70687237
Berkeley,12848779,19.39
Affton,11837422,46.41
Valley Park,11661981,36.7
Bellefontaine Neighbors,11396798,49.97
Overland,11367730,36.77574302
Ellisville,11306117,51.07
Des Peres,11187387,49.59
Lemay,10593766,39.09
Jennings,9668831,46.53
Crestwood,9287533,48.61
St. Ann,8171952,38.39
Frontenac,7462522,61.12
Olivette,7175605,48.21
Clarkson Valley,6979463,64.28
Black Jack,6698365,61.1
Clayton,6492951,51.54
Sappington,6199486,46.63
Richmond Heights,5932423,47.12
Brentwood,5058743,36.12
Normandy,4799906,49.23
Maplewood,4053302,35.09
Shrewsbury,3732894,44.4
St. John,3687984,43.17
Green Park,3390120,42.43
Glendale,3358446,65.82
Pagedale,3117447,35.96
Rock Hill,2857562,52.73
Dellwood,2684678,52.87868056
Huntleigh,2565492,68.04
Glasgow Village,2481443,67.65
Wellston,2414611,32.74
Riverview,2149869,64.95
Grantwood Village,2115288,73.13
Breckenridge Hills,2074194,44.75
Champ,2071675,5.98
Vinita Park,2019263,33.39
Woodson Terrace,2006351,36.81
Bel-Ridge,2002057,38
Kinloch,1882398,28.75
Northwoods,1809074,47.02
Bel-Nor,1630017,50.45
Westwood,1628351,50.17
Pine Lawn,1603627,32.55
Castle Point,1573931,58.86
Oakland,1561091,52.59
Moline Acres,1483554,47.83
Warson Woods,1470854,61.35
Cool Valley,1187471,34.32
Calverton Park,1065446,68.61
Hanley Hills,929456,60.64
Hillsdale,887064,45.07
Bellerive Acres,880176,45.26
Edmundson,710384,23.46
Charlack,701148,36.55
Twin Oaks,697464,40.58
Winchester,648939,35.27
St. George,624074,46.79
Marlborough,588189,24.4
Lakeshire,580140,58.13
Pasadena Hills,548046,61.04
Greendale,498455,63.11
Country Club Hills,482937,41.98
Velda City,422200,39.26
Sycamore Hills,346112,39.56
Bella Villa,332100,46.66
Country Life Acres,321441,62.86
Flordell Hills,317440,46.33
Norwood Court,316896,34.28
Velda Village Hills,310657,42.1
Pasadena Park,254084,58.16
Crystal Lake Park,251491,56.21
Beverly Hills,232591,33.61
Uplands Park,170803,38.91
Wilbur Park,153930,37.65075504
Glen Echo Park,82954,58.25455269
